輪ゴム|わごむ|ゴムでできた輪状の文房具で、書類を束ねたり物をまとめたりするのに使います。
輪ゴムで袋を留めた|と|円形のもの全般を指す基本的な言葉。指輪やタイヤ、輪っかなど、形を表す。
輪切り|わぎ|円筒形のものを輪のように薄く切ること、または能力別にグループ分けすることを指します。料理と人事の両方の場面で使われます。
輪廻|りんね|
輪番|りんばん|「輪番」は、複数の人が順番に交替で役割を担うことを意味します。当番制や持ち回りの制度を指し、特に「輪番制」という形で使われます。ややフォーマルな言葉で、組織や集団の運営に関する文脈で使われます。
輪転機|りんてんき|「輪転機」は、新聞や雑誌などの大量印刷に使われる輪転式の印刷機を指します。高速で連続印刷が可能です。
輪郭|りんかく|物の外形を線で描いた際の線や、物の外側の形を指します。比喩的には、物事の大体の様子やあらましを意味します。「輪郭がはっきりする」という慣用句でも使われます。
輸入する|ゆにゅう|「輸入する」は、外国の製品や技術を自国に取り入れることを意味します。ビジネスや経済の文脈でよく使われる重要な動詞です。
輸入品に対しては、関税がかけられている|かんぜい|「関税」は、輸入品に対して政府が課す税金です。国際貿易に関わる正式な経済用語で、ビジネスやニュースで使われます。
輸出する|ゆしゅつ|「輸出する」は、自国の製品や商品を外国に送り出して販売することを意味します。ビジネスや経済のニュースで頻繁に登場する重要な言葉です。
輸血|ゆけつ|「輸血」は、医療において血液または血液成分を患者の体内に注入する治療行為を指します。怪我や手術による大量出血、血液疾患などの治療に不可欠な医療行為で、ニュースや日常会話では献血の呼びかけや医療ドラマの話題として登場することが多いです。「輸血する」「輸血を受ける」のように動詞としても使われます。ローマ字で「けつえきゆそう」と書きますが、標準的な読みは「ゆけつ」です。
輸送|ゆそう|「輸送」は、人や物を運ぶこと。特に大量の物資や長距離の移動を指す。ビジネスや物流の文脈でよく使われる硬い表現。
輸送機|ゆそうき|輸送機は、人や物を運ぶための航空機を指します。軍用機や貨物機など、大型の輸送用飛行機を表すことが多い言葉です。
輾転反側|てんてんはんそく|
轍|わだち|車のタイヤが通った後にできる溝のことです。物理的な轍のほかに、「同じ轍を踏む」という慣用句で「同じ過ちを繰り返す」という意味でもよく使われます。
轟かす|とどろ|大きな音を響かせること。エンジンや雷、太鼓などが発する轟音を能動的に発生させる意味。他動詞で、目的語に「音」「エンジン」「名声」などが来る。比喩的に「名を轟かす」＝有名になるという意味もある。
轟く|とどろ|轟くは、雷や大砲、爆発などの大きくて低い音が響き渡ることを表す動詞です。単なる「鳴る」よりも格段に迫力があり、音の大きさと重みを強調します。また比喩的に、名声や評判が世間に広く知れ渡ること（「名が轟く」）にも使われます。荘厳で力強い印象を与える、文学的な響きのある表現です。
轟音|ごうおん|非常に大きく響く音のこと。雷や爆発、エンジンなどの力強い音を表現する。ただ大きいだけでなく、響き渡る迫力を伴う。
轢く|ひ|
辛い|つら|「辛い」は、唐辛子や胡椒などの刺激的な味を表す味覚形容詞です。日本語の「辛い」は、塩味の「しょっぱい」とは明確に区別されます。カレーやキムチ、花椒などに使われ、度合いを表すときに「とても辛い」「少し辛い」などと表現します。
辛うじて|かろ|やっとのことで、ぎりぎりの状態で何かを達成する様子を表します。危機一髪というニュアンスを含みます。
辛く当たる|あ|人に対して冷たく、厳しく接することを表す表現です。「部下に辛く当たる」のように、立場が上の人が周囲をいじめたり責め立てたりする場面で使います。当人が悪意をもって厳しくするという否定的な意味合いが強い言葉です。
辛抱|しんぼう|つらいことや苦しいことをがまんして耐え続けることです。根気強さや忍耐力を表します。
辛抱する|しんぼう|苦しいことや退屈なことをじっとこらえることです。「辛抱強い」「辛抱が足りない」など忍耐に関わる場面で幅広く使われます。根性論的な響きがあり、努力や修行の文脈で好んで使われる和語です。
辛抱のかいがあって、運が開けた。|あ|つらいことや苦しいことをがまんして耐え続けることです。根気強さや忍耐力を表します。
辛抱強い|しんぼうづよ|
辛気くさい|しんき|「辛気くさい」は、雰囲気や人が陰鬱で、重苦しく、気が滅入るような様子を表す形容詞です。場所や天気、人の性格などに対して使われ、活気がなく、じっとりと暗いネガティブな印象を与えます。関西地方で特に使われる方言的要素もありますが、標準語としても通じます。
辛辣|しんらつ|言葉や批評が非常に厳しく、容赦がないこと。相手を傷つけるような鋭い表現に対して使う。
辛酸|しんさん|「辛酸」は、非常に苦しい経験や艱難辛苦を表します。「辛酸を舐める」という慣用句で使われることが多いです。
辞す|じ|「辞す」は、「辞める」の硬い表現で、職を辞することやその場から立ち去ることを意味します。「辞職する」「辞去する」に近い意味で、正式な場面で使われます。
辞任|じにん|「じにん」と読み、自分の意思で役職や地位を辞めることを意味します。主に政治家や会社の役員など、責任ある立場の人が職を辞する際に使われます。ややフォーマルな響きがあります。
辞書|じしょ|「辞書」は、言葉を集めて、その意味や用法、発音などを解説した書物やデータベースです。日本語では「国語辞典」「英和辞典」など種類が豊富です。学習や調べ物に欠かせない道具で、最近ではアプリやウェブ版も広く使われています。
辞書で「コウ」という発音の漢字を調べてみたら、あるわあるわ、全部で１７４も出ていた。|で|「辞書」は、言葉を集めて、その意味や用法、発音などを解説した書物やデータベースです。日本語では「国語辞典」「英和辞典」など種類が豊富です。学習や調べ物に欠かせない道具で、最近ではアプリやウェブ版も広く使われています。
辞書は本棚の端にあります。|はじ|「端」は、物の始まりや終わりの部分、あるいは周辺の部分を指す名詞です。机の端、道の端、話の端など、さまざまなものに使われます。
辞書を使わないで、新聞を読む|よ|「辞書」は、言葉を集めて、その意味や用法、発音などを解説した書物やデータベースです。日本語では「国語辞典」「英和辞典」など種類が豊富です。学習や調べ物に欠かせない道具で、最近ではアプリやウェブ版も広く使われています。
辞表|じひょう|「辞表」は、会社や組織を辞める意思を正式に伝える文書のことです。退職願とも呼ばれます。
辞退|じたい|申し出や招待などを丁寧に断ることを意味します。フォーマルな場面で使われることが多いです。
辟易|へきえき|嫌なことにうんざりして、嫌気がさす様子を表します。相手のしつこさや面倒さに疲れた時に使います。
辣腕|らつわん|「辣腕」は、特にビジネスや交渉の場で、鮮やかな手腕を発揮することを指します。単に「上手い」ではなく、時には厳しさも伴う、敏腕で抜け目のない印象を与える言葉です。
農具|のうぐ|農業で使う道具の総称を指します。鍬や鎌、スコップなどが含まれます。
農協|のうきょう|農業協同組合の略称で、農家の経済的・社会的地位向上を目的として設立された組織です。日本各地にあり、農産物の販売や資材の供給などを行っています。
農園|のうえん|農作やを栽培するための土地や施設を指します。一般的な「畑」よりも広い敷地を連想させ、観光農園や体験農園なども含まれます。
農場|のうじょう|農場は、農作物を栽培したり、家畜を飼育したりするための土地や施設のことです。大規模な農業経営の場を指します。
農家|のうか|「農家」は、農業を営む家庭や家族を指します。「農業をする人」という職業的な意味と、農家の家屋・敷地という物理的な意味の両方があります。日本の食文化を支える存在として親しみや尊敬を込めて使われることが多いです。
農村|のうそん|田んぼや畑が広がり、農業を主な産業とする地域のことです。都会に対して使われます。
農村地帯|のうそんちたい|農作物の栽培や畜産などの農業が中心となっている地域を指します。都市部と比べて人口密度が低く、自然豊かな環境が特徴です。
農業|のうぎょう|土地を耕して作物を育てたり、家畜を飼育したりする産業です。第一次産業の中心です。
農業は穀物を育てるための土壌の耕作と定義される。|ていぎ|地表の一番上の層で、植物を育てるための養分を含む部分。農学・園芸・環境科学の基本的な用語。「土」よりも専門的で、成分や性質を分析する際に使われる。比喩的には「文化の土壌」「犯罪の土壌」のように、物事が育つ基盤という意味もある。
