代わり番|かわりばん|alternating, taking turns
槍玉に挙げる|やりだまにあげる|1. to make an example of, to make a victim of, to hold up someone (something) to ridicule, to single out someone for criticism<br>2. to pierce with a spear
藻|も|algae, waterweed, seaweed, duckweed
結果論|けっかろん|hindsight-based opinion
脾臓|ひぞう|1. spleen<br>2. 脾臟<br>3. 脾脏
万来|ばんらい|many guests
病理|びょうり|1. pathology<br>2. 病理
前哨戦|ぜんしょうせん|1. (preliminary) skirmish<br>2. prelude, preliminary encounter, warm-up match (e.g. before a final)
沸点|ふってん|1. boiling point<br>2. 沸點
怒り肩|いかりがた|square shoulders
静観|せいかん|watchful waiting, careful supervision
溜飲が下がる|りゅういんがさがる|to feel relieved, to feel satisfied
有線|ゆうせん|1. wired, cabled<br>2. communication by wire
河川敷|かせんじき|flood plain, river terrace, riverside area, area between river and river bank
替え歌|かえうた|parody (of a song), new lyrics to an old melody, song parody
ハイタッチ||1. high five<br>2. 举手击掌
巻尺|まきじゃく|tape measure
眼中|がんちゅう|1. (one's) consideration, (taking) notice, interest, attention<br>2. within the eye
諂い|へつらい|flattery
溜飲を下げる|りゅういんをさげる|to satisfy oneself (by doing), to find relief (in doing)
手指消毒|しゅししょうどく|hand sanitization
ちんちくりん||1. short (in height), stumpy, tiny<br>2. short (trousers, etc.), undersized
世界恐慌|せかいきょうこう|1. worldwide financial crisis, global depression<br>2. 大蕭條
とろろ昆布|とろろこんぶ|1. shredded kombu<br>2. Kjellmaniella gyrata (species of kelp)
養生|ようじょう|1. taking care of one's health<br>2. recuperation<br>3. covering (with a protective material), coating<br>4. curing (concrete)
溶媒|ようばい|1. solvent<br>2. 溶劑<br>3. 溶剂
じゃれ合う|じゃれあう|to frolic about, to mess around
諳んじる|そらんじる|to memorize, to memorise, to recite from memory
剣聖|けんせい|master swordsman
提携先|ていけいさき|business partner
夫婦喧嘩は犬も食わない|ふうふげんかはいぬもくわない|one should not get involved in a marital quarrel
加虐|かぎゃく|1. causing pain, sadism<br>2. to inflict pain
采配|さいはい|1. baton (of command)<br>2. order, command, direction
肝いり|きもいり|1. good offices, auspices, sponsorship, help, assistance<br>2. village official (during the Edo period)
ヤケ酒|やけざけ|drowning one's cares in drink, drinking in desperation
山札|やまふだ|1. deck (from which players draw cards), draw pile, stock<br>2. tag verifying one has permission to take plants and trees from common land (Edo period)
製油所|せいゆじょ|1. oil refinery<br>2. 煉油廠
がちんこ||competing in earnest (esp. in sumo)
鬣|たてがみ|1. mane (of a horse, lion, etc.)<br>2. 馬鬃<br>3. 獅子的鬃毛, 獅鬣
水炊き|みずたき|food (esp. chicken and vegetables) boiled in plain water (or sometimes dashi, etc.) and served with dipping sauce (esp. ponzu)
ギャン泣き|ギャンなき|screaming fit (of a baby), tantrum, crying hysterically
ド田舎|どいなか|remote countryside, boondocks, the sticks, middle of nowhere
放熱|ほうねつ|1. radiant heat, heat radiation, heat dissipation, thermolysis<br>2. to radiate heat, to dissipate heat
継ぎ足し|つぎたし|addition, extension, elongation
端脚類|たんきゃくるい|amphipods
家風|かふう|1. family tradition<br>2. wind blowing from the direction of one's home
戯け|たわけ|1. tomfoolery, foolish act, nonsense<br>2. fool, idiot<br>3. 笨蛋, 蠢貨, 蠢人, 呆子, 傻瓜, 傻子, 愚人
髄膜炎|ずいまくえん|1. meningitis<br>2. 腦膜炎<br>3. 脑膜炎
山ごもり|やまごもり|1. secluding oneself in the mountains, undertaking ascetic practices at a mountain temple<br>2. retreat, off-site meeting
お茶を濁す|おちゃをにごす|to evade (questions), to reply evasively, to beat around the bush, to throw up a smoke screen
仕事に勤しむ|しごとにいそしむ|to be assiduous in one's business
腓骨|ひこつ|1. fibula<br>2. fibular, peroneal<br>3. 腓骨
お目通り|おめどおり|audience (with someone of high standing)
野兎病|やとびょう|1. rabbit fever, tularemia (tularaemia)<br>2. 兔熱病
遣らせる|やらせる|to allow, to let (someone) do, to make (someone) do
イチャコラ||making out, necking, canoodling, fondling, flirting
角が立つ|かどがたつ|to cause offence (offense), to create hard feelings
パワハラ||harassment (in the workplace) from a position of power, power harassment
腑抜け|ふぬけ|coward, namby-pamby, wimp, weak-kneed person, spineless person
発話|はつわ|1. utterance, speech<br>2. to utter, to speak
機嫌を損ねる|きげんをそこねる|to displease, to offend, to hurt (a person's) feelings
路線価|ろせんか|roadside land prices, price of land adjoining a major road, used to calculate inheritance and gift taxes
符丁|ふちょう|1. symbol, sign, mark<br>2. (secret) price mark<br>3. secret language, code, cipher, argot, password
ペーペー||underling, newbie, small fry, newcomer
念話|ねんわ|telepathic communication
軟禁|なんきん|1. house arrest<br>2. 軟禁, 幽禁
前のめり|まえのめり|1. pitching forward (as if to fall)<br>2. proactive, forward-looking, positive<br>3. hasty (without sufficient preparation), rushed
格式|かくしき|1. formality, social rules<br>2. social status, social standing<br>3. amendments and enforcement regulations (of the ritsuryō)
マウントを取る|マウントをとる|1. to mount (animal behaviour)<br>2. to assert dominance
術式|じゅつしき|surgical method, operative method, surgical technique, procedure
潮目|しおめ|1. junction line between two sea currents, line where two ocean currents meet<br>2. course of things, turning point
訳もなく|わけもなく|without cause, without reason
居たたまれない|いたたまれない|unable to stay (on), unable to endure being somewhere a second longer, feel like running away
低俗|ていぞく|1. vulgar, lowbrow, coarse<br>2. 俗氣, 粗俗
唾をつける|つばをつける|to call dibs, to establish a claim, to spit on (thus preventing others from taking it)
